Location,Latitude,Longitude
st.luke hospital,4.164948,9.273951
provision shop,4.165516,9.274043
T junction 1,4.165603,9.274309
Omega fire ministry,4.165661,9.274582
Convenant university junction,4.165681,9.274808
Tilled cite 1,4.165746,9.274998
Baron hotel entrance,4.1658,9.275231
Mustardseed shop,4.165901,9.275538
Da costa residence,4.165945,9.275878
T junction 2,4.165989,9.276251
Gas shop,4.166104,9.276251
T junction 3,4.166107,9.276493
Big dora shop,4.16619,9.276773
Faith balingual,4.166205,9.27697
skovedemalma cite,4.166204,9.277317
Guest house 1,4.166296,9.27771
Snooker/barber shop,4.166386,9.278916
HIPS university,4.16644,9.278431
Nyla's affordable boutique,4.166538,9.278832
Alfredo's fashion shop,4.166565,9.278975
St.Luke junction,4.166615,9.279339
Saw mill 1,4.166271,9.279424
Remi's world wide entrance,4.165988,9.279456
Saw mill 2,4.165757,9.279546
Shanty's food,4.165631,9.2796
Hotel Yanze entrance,4.165448,9.279605
St.Louis feed mill,4.16518,9.27967
Djos gracias building,4.16483,9.279727
Cathedral,4.16452,9.279778
Blue empire holding,4.16388,9.27991
 SUBUTECH entrance,4.163341,9.280062
Tatabong lounge,4.162833,9.280135
Alino's metal,4.162214,9.280277
New taste restaurant,4.161814,9.280371
Molyko omnisport staduim,4.161388,9.2805
HIBMAT campus B junction,4.161219,9.280612
Stone cite,4.161375,9.281326
Emma city building,4.161424,9.281548
CBC church,4.161546,9.281835
Saw mill 3,4.161558,9.28198
LUKMEF building,4.161671,9.282488
NADEV head office,4.161726,9.282793
HIBMAT campus B entrance,4.161939,9.283752
HIBMAT campus B,4.162428,9.282611